timestamp,x,y,z,w
1511885044792957,-0.457703,0.0966797,-0.659485,0.58844
1511885044814006,-0.434143,0.117432,-0.653198,0.609192
1511885044829045,-0.409851,0.136292,-0.645935,0.629517
1511885044853110,-0.385681,0.152771,-0.637695,0.649048
1511885044874345,-0.361938,0.166504,-0.62915,0.66748
1511885044889275,-0.338928,0.177429,-0.620789,0.684326
1511885044928378,-0.317505,0.186096,-0.61261,0.699524
1511885044936401,-0.297791,0.192322,-0.604614,0.713318
1511885044950435,-0.279724,0.195862,-0.596924,0.726013
1511885044972493,-0.264343,0.196655,-0.590027,0.737122
1511885044994555,-0.250183,0.195251,-0.58374,0.747375
1511885045010595,-0.236755,0.191895,-0.577942,0.757019
1511885045056741,-0.224121,0.186951,-0.572632,0.766113
1511885045057745,-0.213013,0.180908,-0.56781,0.774292
1511885045070759,-0.203918,0.174561,-0.563416,0.781311
1511885045091811,-0.195923,0.167542,-0.559326,0.787842
1511885045114872,-0.188293,0.159241,-0.555664,0.793945
1511885045136973,-0.181274,0.15033,-0.552551,0.7995
1511885045151050,-0.175476,0.141602,-0.549744,0.804321
1511885045174325,-0.171021,0.133484,-0.547363,0.808289
1511885045197347,-0.167053,0.125366,-0.545349,0.811768
1511885045211562,-0.16333,0.117249,-0.543762,0.814819
1511885045234446,-0.159973,0.109558,-0.542297,0.817505
1511885045250485,-0.157532,0.102783,-0.540771,0.819824
1511885045271736,-0.155945,0.0974121,-0.539429,0.821716
1511885045293603,-0.154846,0.0929565,-0.538147,0.823242
1511885045310683,-0.153503,0.0888672,-0.537048,0.824707
1511885045331704,-0.152161,0.0855103,-0.53595,0.825989
1511885045353763,-0.151611,0.083313,-0.534973,0.826965
1511885045370809,-0.15155,0.0821533,-0.533997,0.827759
1511885045391862,-0.151184,0.0814209,-0.533142,0.828369
1511885045413920,-0.15094,0.0808105,-0.532654,0.828796
1511885045430013,-0.150818,0.0805664,-0.532349,0.829102
1511885045452068,-0.150757,0.0804443,-0.532043,0.829285
1511885045474371,-0.15094,0.0804443,-0.531738,0.829468
1511885045490550,-0.15094,0.0805054,-0.531494,0.82959
1511885045511692,-0.150208,0.0802612,-0.531433,0.829834
1511885045533777,-0.148987,0.0800781,-0.531433,0.830017
1511885045550928,-0.148132,0.0800781,-0.531555,0.830078
1511885045570995,-0.147156,0.0799561,-0.531738,0.830139
1511885045594045,-0.146423,0.0796509,-0.532043,0.830139
1511885045611091,-0.14624,0.0795288,-0.532227,0.830078
1511885045632378,-0.145752,0.0789795,-0.532593,0.830017
1511885045654571,-0.144775,0.078186,-0.53302,0.829956
1511885045670480,-0.143677,0.0774536,-0.533386,0.829956
1511885045692729,-0.143066,0.0770264,-0.533691,0.829956
1511885045713740,-0.142944,0.0766602,-0.533875,0.829834
1511885045730781,-0.142883,0.0762939,-0.53418,0.829712
1511885045752840,-0.142456,0.0755615,-0.534485,0.829651
1511885045773899,-0.141968,0.0748901,-0.534607,0.829712
1511885045789967,-0.141541,0.0742188,-0.534607,0.829834
1511885045813001,-0.141235,0.0736694,-0.534485,0.830017
1511885045834200,-0.140869,0.0731201,-0.534363,0.8302
1511885045850239,-0.140381,0.0726318,-0.534241,0.830383
