timestamp,roll,pitch,yaw
1512354409137839,0.215093,0.110174,0.741131
1512354409161839,0.21725,0.109976,0.738406
1512354409182839,0.220051,0.110504,0.73533
1512354409197839,0.223448,0.111628,0.731996
1512354409221839,0.226309,0.112709,0.728768
1512354409242839,0.228809,0.11351,0.725716
1512354409257839,0.231404,0.114503,0.722938
1512354409296839,0.234299,0.115513,0.720492
1512354409299839,0.236614,0.11631,0.718341
1512354409319839,0.237926,0.117446,0.71668
1512354409344839,0.238842,0.118595,0.714971
1512354409358839,0.239966,0.119911,0.713432
1512354409379839,0.240821,0.121185,0.711995
1512354409414839,0.241782,0.122248,0.711077
1512354409424839,0.242965,0.123217,0.710149
1512354409438839,0.243519,0.123896,0.709259
1512354409459839,0.243339,0.124313,0.708538
1512354409476839,0.243263,0.125084,0.707578
1512354409498839,0.243314,0.125802,0.706769
1512354409519839,0.2438,0.126206,0.706223
1512354409536839,0.244739,0.126481,0.705465
1512354409558839,0.244945,0.126629,0.704446
1512354409579839,0.243996,0.126793,0.70358
1512354409596839,0.242921,0.126826,0.703211
1512354409618839,0.242519,0.127289,0.702723
1512354409639839,0.241756,0.128088,0.702605
1512354409656839,0.240252,0.128227,0.70273
1512354409678839,0.239399,0.128412,0.70267
1512354409699839,0.239211,0.128384,0.702245
1512354409716839,0.238929,0.128173,0.701553
1512354409738839,0.238687,0.127408,0.700751
1512354409759839,0.23868,0.126561,0.699969
1512354409776839,0.238928,0.126018,0.699269
1512354409798839,0.238603,0.125668,0.698663
1512354409819839,0.238603,0.125668,0.698663
1512354409836839,0.239371,0.125675,0.698487
1512354409858839,0.24031,0.126153,0.698267
1512354409879839,0.240903,0.126121,0.697808
1512354409896839,0.241382,0.125882,0.697019
1512354409918839,0.2418,0.125811,0.696277
1512354409939839,0.2418,0.125811,0.696277
1512354409957839,0.241346,0.125738,0.69595
1512354409978839,0.240798,0.125684,0.695895
1512354409999839,0.240681,0.125724,0.695886
1512354410016839,0.240636,0.125609,0.695862
1512354410038839,0.240636,0.125609,0.695862
1512354410061839,0.240636,0.125609,0.695862
1512354410076839,0.240517,0.125875,0.696281
1512354410098839,0.240939,0.125798,0.696833
1512354410121839,0.241629,0.125766,0.697288
1512354410136839,0.241887,0.125638,0.697696
1512354410158839,0.241887,0.125638,0.697696
1512354410181839,0.242114,0.12516,0.697792
1512354410196839,0.242307,0.124532,0.698112
1512354410218839,0.242247,0.1236,0.698351
1512354410241839,0.241593,0.122523,0.698401
1512354410256839,0.240732,0.121257,0.698396
1512354410277839,0.239931,0.119847,0.698237
1512354410300839,0.239051,0.118196,0.698173
1512354410315839,0.238323,0.11663,0.698004
1512354410337839,0.237261,0.114951,0.697523
1512354410360839,0.235592,0.113362,0.697149
1512354410374839,0.233926,0.111749,0.696889
1512354410397839,0.232896,0.110443,0.696619
1512354410420839,0.231049,0.1088,0.695946
1512354410436839,0.229019,0.106946,0.695505
1512354410457839,0.227553,0.104909,0.694832
1512354410480839,0.226213,0.103227,0.694089
1512354410496839,0.224687,0.10174,0.693356
1512354410518839,0.222472,0.100507,0.69261
1512354410540839,0.220386,0.0992008,0.692126
1512354410562839,0.218704,0.097855,0.69194
1512354410577839,0.217247,0.0964176,0.691743
1512354410600839,0.214604,0.094846,0.691959
1512354410622839,0.211957,0.0929002,0.69216
1512354410637839,0.210288,0.0905042,0.691995
1512354410660839,0.208678,0.0875677,0.691772
1512354410682839,0.205553,0.0837453,0.691312
1512354410697839,0.200329,0.0786816,0.691377
1512354410720839,0.194617,0.072001,0.690992
1512354410742839,0.19015,0.0629034,0.689155
1512354410757839,0.187777,0.0517433,0.686305
1512354410780839,0.188678,0.0392312,0.68259
1512354410802839,0.188954,0.024211,0.677718
1512354410817839,0.186724,0.00485084,0.671983
1512354410840839,0.182324,-0.0196818,0.66625
1512354410862839,0.174378,-0.0482758,0.660628
1512354410877839,0.163728,-0.0805013,0.655699
