timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511883703664962,5,2,-4,2,1,-4,-7,-3
1511883703664962,1,-2,-4,-6,2,-4,-6,-1
1511883703681007,0,-10,-1,-2,5,-3,1,6
1511883703681007,-2,4,1,4,10,2,6,3
1511883703682009,-4,-4,1,-1,-3,0,6,-1
1511883703682009,3,3,-9,2,-6,0,0,-1
1511883703682009,4,8,1,6,-2,4,-4,-2
1511883703682009,5,2,-1,-1,-2,3,-5,0
1511883703689028,3,7,1,-2,0,3,-8,-2
1511883703689028,-2,-2,1,-3,-5,0,-5,-3
1511883703693038,-2,-1,-3,-8,-5,-4,-2,-3
1511883703693038,-3,-13,-6,-4,-2,-5,-1,-1
1511883703703065,-3,12,2,-2,-2,-5,2,2
1511883703703065,-4,6,3,-2,-2,-5,7,1
1511883703718105,-6,-5,1,1,-2,-2,2,-4
1511883703718105,1,1,8,2,-1,0,-6,-4
1511883703723118,1,2,-3,-1,2,3,-2,0
1511883703723118,-4,-9,-7,-3,1,5,0,-1
1511883703734148,1,0,-6,1,4,1,0,-1
1511883703734148,2,3,-2,-1,1,-1,-1,2
1511883703748185,3,-7,1,-2,-2,-4,2,0
1511883703748185,4,0,8,1,1,-2,3,-1
1511883703753198,4,6,-1,0,-3,-3,4,0
1511883703753198,3,-2,-8,-2,-6,1,3,-6
1511883703800326,2,0,6,-1,5,-1,-6,1
1511883703800326,4,1,3,-3,-1,-1,-8,-4
1511883703800326,5,6,4,6,2,3,-5,-7
1511883703800326,-5,-3,-4,3,-1,-1,-4,-5
1511883703801328,0,-1,-3,0,-8,-5,0,1
1511883703801328,0,-5,-2,4,-1,-4,3,5
1511883703802331,-9,-12,1,-2,0,-5,0,0
1511883703802331,-3,-6,-11,-4,1,3,1,-2
1511883703812360,-7,7,-3,4,0,7,0,1
1511883703812360,-2,-3,-2,-4,-2,4,-2,0
1511883703820380,-2,-5,5,-4,-6,8,-1,2
1511883703820380,-2,-8,-4,-2,0,2,-1,-2
1511883703829403,1,-7,-7,-4,-2,1,5,-2
1511883703829403,-4,-3,-5,1,0,2,5,-4
1511883703842437,-11,-6,-9,-4,2,-5,1,2
1511883703842437,-2,19,16,-4,-1,-4,-3,5
1511883703851462,-4,-8,-2,-1,-2,-11,-8,1
1511883703851462,-1,1,5,2,-4,-9,-6,-1
1511883703857981,4,-1,-7,0,-3,-6,-7,4
1511883703857981,2,-10,1,6,-2,-4,-7,0
1511883703872519,4,-1,4,-1,6,1,0,-7
1511883703872519,-3,-6,-12,-6,7,2,1,-6
1511883703880542,0,6,-2,-4,-1,1,-2,-4
1511883703880542,0,-5,-1,-2,0,3,5,-5
1511883703896586,-2,-1,3,4,-1,5,8,4
1511883703896586,2,-3,4,7,-2,-2,11,5
1511883703902601,-12,-12,-2,-3,-3,1,7,-6
1511883703902601,7,-1,2,2,-4,0,1,-2
1511883703911625,-12,-6,1,-5,-2,0,-7,2
1511883703911625,-4,-3,1,-5,2,4,-7,4
1511883703917641,0,4,0,1,6,2,-3,4
1511883703917641,-2,0,-6,-10,-7,-8,-3,1
1511883703932683,-4,0,3,-2,-7,-4,0,-8
1511883703932683,2,4,-11,-3,-7,-3,-4,-9
1511883703940704,-8,-9,-9,2,-8,-6,-4,-4
1511883703940704,-2,2,8,6,0,3,1,3
1511883703949728,8,15,-7,-4,5,1,-5,4
1511883703949728,0,-4,3,-2,-11,0,1,6
1511883703963269,7,18,12,3,9,10,4,8
1511883703963269,0,1,3,1,0,-1,2,-2
1511883703972292,1,-11,-8,-3,0,-2,3,-3
1511883703972292,10,1,7,2,3,-8,-3,-18
1511883703977473,-2,-5,-5,-3,-7,-11,-7,0
1511883703977473,10,-1,2,-1,3,-3,-6,-1
1511883703992513,-24,-15,-10,-4,2,2,-1,-8
1511883703992513,-6,7,6,-1,2,4,5,-7
1511883704000592,19,12,-1,0,-3,1,7,6
1511883704000592,-11,-3,-8,0,0,-2,-1,6
1511883704009595,14,3,3,3,-5,-1,-4,0
1511883704009595,14,3,0,1,1,4,-2,5
