timestamp,roll,pitch,yaw
1511885796097436,0.655382,1.35682,2.3011
1511885796112502,0.679593,1.35517,2.31709
1511885796136322,0.704984,1.35335,2.33444
1511885796157518,0.729085,1.35183,2.35075
1511885796172518,0.750783,1.35092,2.36537
1511885796196478,0.771978,1.35095,2.37919
1511885796241606,0.79322,1.35285,2.39341
1511885796250658,0.813204,1.35467,2.40701
1511885796257649,0.831619,1.35791,2.41921
1511885796277693,0.85052,1.36085,2.43072
1511885796293759,0.872207,1.36329,2.44471
1511885796316014,0.895442,1.36531,2.46115
1511885796360014,0.91877,1.36676,2.48041
1511885796369886,0.93035,1.36868,2.49108
1511885796376401,0.926625,1.37062,2.48446
1511885796398464,0.923418,1.37093,2.47239
1511885796413500,0.920944,1.36979,2.4596
1511885796434555,0.91113,1.3673,2.44364
1511885796458652,0.878499,1.36141,2.40866
1511885796473663,0.834419,1.35426,2.36002
1511885796494970,0.792082,1.34628,2.31
1511885796517964,0.743221,1.33491,2.25404
1511885796534137,0.694077,1.31663,2.19807
1511885796555205,0.652931,1.29315,2.14854
1511885796578361,0.626394,1.2634,2.11252
1511885796594403,0.608141,1.22912,2.08389
1511885796615363,0.603594,1.18994,2.06667
1511885796638542,0.603924,1.14302,2.05582
1511885796653488,0.609617,1.08898,2.05045
1511885796674846,0.61957,1.03036,2.04843
1511885796697911,0.632311,0.965541,2.04982
1511885796722012,0.644794,0.894435,2.0523
1511885796736059,0.65289,0.819108,2.05423
1511885796758372,0.657116,0.741376,2.05606
1511885796774396,0.659985,0.662267,2.06008
1511885796796450,0.661722,0.582273,2.06422
1511885796818509,0.66232,0.5018,2.06913
1511885796833612,0.661134,0.420698,2.07755
1511885796856635,0.654302,0.341703,2.08922
1511885796892771,0.642932,0.265814,2.10164
1511885796908773,0.626878,0.192224,2.114
1511885796916793,0.606309,0.120839,2.12731
1511885796938206,0.585617,0.0536229,2.14366
1511885796954192,0.566955,-0.00801588,2.16127
1511885796976111,0.547056,-0.0650356,2.17866
1511885796997281,0.523061,-0.118902,2.19655
1511885797014313,0.496596,-0.169612,2.21524
1511885797036371,0.467952,-0.217026,2.23456
1511885797057460,0.436372,-0.259386,2.25245
1511885797073471,0.403995,-0.296972,2.26981
1511885797096533,0.375512,-0.329176,2.28731
1511885797117611,0.350581,-0.358164,2.30472
1511885797133630,0.326234,-0.384029,2.32044
1511885797156691,0.298281,-0.407235,2.33501
1511885797177751,0.268048,-0.428353,2.34945
1511885797193913,0.238207,-0.445842,2.36184
1511885797215976,0.209081,-0.460427,2.37149
1511885797237069,0.18094,-0.472349,2.37957
1511885797254113,0.155861,-0.481404,2.38654
1511885797276196,0.133353,-0.487899,2.39245
1511885797297233,0.114251,-0.492926,2.39637
1511885797314276,0.0954838,-0.497142,2.39733
1511885797336331,0.0766946,-0.499562,2.3946
