timestamp,roll,pitch,yaw
1511883864986477,-2.39272,-0.34752,1.00828
1511883865000984,-2.39233,-0.3477,1.00728
1511883865025048,-2.39239,-0.347512,1.00637
1511883865046104,-2.39222,-0.347464,1.00575
1511883865061170,-2.39187,-0.347594,1.00495
1511883865086742,-2.39192,-0.347578,1.00433
1511883865132058,-2.39233,-0.347315,1.00394
1511883865133062,-2.39274,-0.347257,1.00345
1511883865145098,-2.39286,-0.347347,1.00312
1511883865167183,-2.39286,-0.347347,1.00312
1511883865183201,-2.39294,-0.347283,1.00312
1511883865204855,-2.39289,-0.347182,1.00315
1511883865249084,-2.39276,-0.347031,1.00303
1511883865259001,-2.39217,-0.345991,1.00341
1511883865265014,-2.39177,-0.345244,1.00381
1511883865287097,-2.39098,-0.344643,1.00403
1511883865302810,-2.38965,-0.343833,1.00403
1511883865323868,-2.3885,-0.343479,1.00403
1511883865347051,-2.3876,-0.343251,1.00366
1511883865362972,-2.38669,-0.343601,1.00296
1511883865384032,-2.38599,-0.343975,1.00193
1511883865406631,-2.38545,-0.34428,1.00093
1511883865422674,-2.38531,-0.344324,0.999958
1511883865443731,-2.38532,-0.344143,0.998927
1511883865466791,-2.3844,-0.343529,0.998049
1511883865482835,-2.38416,-0.342153,0.997366
1511883865503395,-2.38424,-0.340376,0.996817
1511883865526456,-2.38391,-0.338481,0.99615
1511883865542500,-2.38294,-0.336337,0.995318
1511883865563579,-2.38185,-0.333986,0.994241
1511883865587153,-2.38064,-0.331271,0.99283
1511883865602703,-2.37867,-0.328367,0.991358
1511883865624761,-2.37487,-0.325208,0.988966
1511883865646820,-2.37008,-0.322879,0.986218
1511883865662863,-2.36572,-0.32213,0.982969
1511883865685426,-2.36155,-0.322238,0.979395
1511883865706985,-2.35801,-0.322695,0.975819
1511883865723028,-2.35595,-0.32384,0.972095
1511883865745085,-2.35491,-0.325853,0.968966
1511883865767145,-2.3524,-0.328638,0.965666
1511883865782185,-2.35074,-0.331618,0.962986
1511883865805251,-2.34973,-0.334972,0.960618
1511883865851380,-2.34931,-0.337491,0.958692
1511883865852376,-2.3495,-0.338557,0.957834
1511883865873434,-2.351,-0.338118,0.958384
1511883865894492,-2.35142,-0.336501,0.960332
1511883865911055,-2.34949,-0.335063,0.962637
1511883865933112,-2.3498,-0.327671,0.968784
