timestamp,x,y,z
1511883864986477,-0.125,2.1875,1.3125
1511883865000984,0.125,2.1875,1.1875
1511883865025048,-1.0625,1.625,1.75
1511883865046104,-0.3125,1.375,1.3125
1511883865061170,0.5,1.5,1.5625
1511883865086742,-0.625,0.9375,1.625
1511883865132058,-0.3125,0.8125,1.375
1511883865133062,-0.3125,1.1875,1.125
1511883865145098,0.125,1.1875,0.625
1511883865167183,-0.3125,0.875,0.5
1511883865183201,-0.625,0.625,0.1875
1511883865204855,0,-0.25,0
1511883865249084,0.625,-0.9375,-0.0625
1511883865259001,1.875,-1.75,0.25
1511883865265014,1.0625,-2.5,0.5625
1511883865287097,2.25,-1.6875,0.625
1511883865302810,2.75,-1.6875,1
1511883865323868,3.1875,-1.3125,1.125
1511883865347051,2.125,-0.5,1.5625
1511883865362972,2.375,0.9375,1.9375
1511883865384032,1.125,1.875,2.125
1511883865406631,1.0625,1.8125,2.25
1511883865422674,0.4375,1.8125,2.4375
1511883865443731,-1,1.1875,2.5625
1511883865466791,1.875,0.625,2.625
1511883865482835,0.25,-0.9375,3.1875
1511883865503395,-0.875,-1.5625,3.75
1511883865526456,-0.1875,-2.1875,3.9375
1511883865542500,0.4375,-2.3125,4.5
1511883865563579,0.25,-2.0625,5.625
1511883865587153,-0.875,-2.4375,5.75
1511883865602703,2,-2.5625,6.9375
1511883865624761,5.3125,-1.9375,9.1875
1511883865646820,10.5,-0.1875,10.25
1511883865662863,9.625,2.5625,9.625
1511883865685426,9,5.4375,8.5
1511883865706985,8,6.9375,7.3125
1511883865723028,4.5625,8.375,6.5625
1511883865745085,1.0625,9.25,3.3125
1511883865767145,5.5625,11.375,2.1875
1511883865782185,5.3125,12.125,-0.5
1511883865805251,4.1875,12.875,-2.125
1511883865851380,2.875,12,-3.1875
1511883865852376,0.375,5.5,-1.625
1511883865873434,-3.5,-1.375,-0.8125
1511883865894492,-0.5625,-6.75,-1.375
1511883865911055,4.9375,-8.6875,-1.375
1511883865933112,11.6875,-20.1875,0.4375
1511883865954169,11.6875,-21.8125,2.375
1511883865969209,7.5,-28.375,5.5625
1511883865985252,-1.125,-1.25,7
1511883866005809,1.4375,-19.125,8.5625
1511883866028902,0.75,-16.25,8.625
1511883866060956,-0.875,-6.5625,10.3125
1511883866067975,0.8125,-4.3125,9.1875
1511883866098058,1.875,-4.9375,9.375
1511883866134723,3.125,-4.875,7.5625
1511883866135727,-1.375,-5.1875,6.9375
1511883866149762,-4,-5.25,5.5
1511883866173828,-3.625,-6.1875,6.125
1511883866195954,-2.8125,-1.125,5.875
1511883866209995,-3.125,7.125,8.0625
1511883866239119,2.6875,2.1875,7.875
1511883866256115,1.625,-21.4375,10.0625
1511883866278171,-3,0.8125,7.25
1511883866299783,-3.125,-18.9375,4.875
1511883866315329,-0.9375,0.9375,-0.25
1511883866338391,-14.3125,5.5625,-7.375
1511883866359566,-12.6875,1.6875,-12.6875
1511883866375490,-2.875,4,-14.25
1511883866398582,1.9375,9.8125,-15.875
1511883866420642,0.5625,15.1875,-17.8125
1511883866434679,0.1875,16.1875,-18
1511883866457740,-2.125,13,-15.5
1511883866503867,-5.875,12.875,-17
1511883866504870,-10,12.0625,-15.8125
1511883866516902,-11,12.125,-11.3125
1511883866532952,2,15.0625,-8.3125
1511883866547996,4.375,-8.9375,-4.6875
1511883866569041,-6.0625,-1.0625,0
1511883866601129,-1.6875,10.75,0
1511883866615168,-8.4375,-7.5625,2.6875
1511883866638229,4,6.75,2.6875
1511883866660288,-8.375,2.0625,3.8125
1511883866675328,1.5,-10.4375,5.375
1511883866698393,12.125,-2,5.5
1511883866720453,8.8125,5.9375,3.0625
1511883866735493,-2.75,6.875,0.125
1511883866758555,-10.375,5,-2.0625
1511883866780613,-9.8125,7,-3.125
1511883866795155,-8.375,11.375,-5.125
1511883866818719,-6.1875,15.8125,-7.75
1511883866840779,-6.6875,16.1875,-8
1511883866854829,-6.6875,14.1875,-4.25
1511883866877877,-6.6875,18.5625,-3.0625
1511883866900966,-3.75,28.625,-8.0625
1511883866921576,-2.9375,26.9375,-4.5625
1511883866938623,-14.1875,31.9375,-0.9375
1511883866960681,-8.75,34.4375,-2.9375
1511883866981736,-8.75,37.4375,1.6875
1511883866998284,-9.75,36.5,2.625
1511883867013334,-5.0625,45.1875,2.125
1511883867027371,-3.1875,49.1875,7.625
1511883867050433,0.75,50.5,10
1511883867073494,-1.375,58.9375,9.6875
1511883867088037,-2,53.75,16.5625
1511883867109649,1.5,43.875,22.75
1511883867133714,0.5,39.9375,29.3125
1511883867154769,8,41.5625,35.1875
1511883867169809,12.125,44.625,39.25
1511883867193483,1,40.75,45.8125
1511883867214728,-17.25,33.1875,49.8125
1511883867230733,-15.5,27.5625,54.4375
1511883867253819,0.0625,25.625,56.6875
1511883867274816,4.625,21.25,61.125
1511883867319825,-7.625,13.4375,65.25
1511883867320650,-18.875,4.625,67.8125
1511883867335690,-6.75,3.1875,69.8125
1511883867356748,-2.9375,1.6875,70.5625
1511883867373797,0.1875,-11.1875,71.6875
1511883867387866,-13.4375,-8.3125,71.5625
1511883867408923,-13.75,-21.5,71.75
1511883867441009,-7.4375,-40.0625,73.8125
1511883867463067,-3.125,-17,73.9375
1511883867477105,2.875,-42.625,75.3125
1511883867501172,1,-25.3125,74.8125
1511883867522788,-10.4375,-33.25,72.25
1511883867543842,-2.5,-47,75.125
1511883867560888,7,-45.3125,77.5
1511883867582948,11.875,-39.9375,76.125
1511883867604510,11,-39.1875,73.875
1511883867620551,7.875,-42.3125,73.375
1511883867643613,6.6875,-46.75,71.4375
1511883867664669,6.375,-53.0625,71.875
1511883867680713,7.8125,-59,70.8125
1511883867703276,7.875,-59.8125,67.6875
1511883867723831,7.1875,-55.25,60.5625
1511883867740878,12.375,-57.875,56.875
1511883867762936,11.875,-64.875,60.6875
1511883867769955,4.5,-59.625,53.0625
1511883867793520,3.0625,-65.875,52.25
1511883867814626,4.4375,-62.375,46.9375
1511883867829666,7.9375,-72.125,47
1511883867852727,1.6875,-73.125,43.5
1511883867873804,1.5625,-67.9375,39
1511883867890830,-2.25,-70.625,36.125
1511883867912400,-11.75,-73.5,33.125
1511883867935462,-14.75,-74.75,29.6875
1511883867950502,-9.875,-77.8125,26.875
1511883867972561,-4.625,-78.9375,23.6875
1511883867996127,-9.25,-80.125,20.8125
1511883868009678,-13.1875,-82.125,17
1511883868032740,-9.5625,-83.125,12.5
1511883868055801,-13,-83.875,9.3125
1511883868069839,-21.875,-84.0625,6.0625
1511883868092901,-32.25,-85.6875,2.8125
1511883868116019,-31.75,-85.375,-1.875
