timestamp,roll,pitch,yaw
1511885071079084,-0.42295,0.586003,-1.1869
1511885071095078,-0.461237,0.575496,-1.25571
1511885071116240,-0.497388,0.556009,-1.32109
1511885071140319,-0.531518,0.527418,-1.38098
1511885071156241,-0.560933,0.490774,-1.43348
1511885071176458,-0.585007,0.447278,-1.47714
1511885071200602,-0.604907,0.397364,-1.51021
1511885071229649,-0.621893,0.342297,-1.5321
1511885071240680,-0.637296,0.283338,-1.54217
1511885071260733,-0.652761,0.222155,-1.54057
1511885071281791,-0.668178,0.159922,-1.52696
1511885071296940,-0.685587,0.0985,-1.50173
1511885071321036,-0.705712,0.0390583,-1.46356
1511885071359083,-0.727122,-0.0166776,-1.4143
1511885071361095,-0.749604,-0.0676089,-1.35538
1511885071379330,-0.773153,-0.113594,-1.28804
1511885071394187,-0.794437,-0.154314,-1.21607
1511885071417252,-0.811038,-0.187262,-1.14464
1511885071447333,-0.825938,-0.212345,-1.07667
1511885071453348,-0.843884,-0.232192,-1.0127
1511885071476406,-0.863674,-0.246145,-0.954661
1511885071499587,-0.881942,-0.255004,-0.903258
1511885071513694,-0.897425,-0.261699,-0.858433
1511885071536694,-0.905455,-0.271617,-0.820805
1511885071558876,-0.911171,-0.280141,-0.789542
1511885071581940,-0.914866,-0.286213,-0.764435
1511885071596012,-0.919004,-0.291819,-0.745077
1511885071619169,-0.923293,-0.297761,-0.731167
1511885071641522,-0.92694,-0.303405,-0.721914
1511885071656425,-0.927499,-0.308828,-0.716121
1511885071679447,-0.924766,-0.313602,-0.713429
1511885071701505,-0.921416,-0.318061,-0.71298
1511885071716546,-0.918741,-0.321976,-0.71419
1511885071739727,-0.916997,-0.325948,-0.716641
1511885071753644,-0.917523,-0.32938,-0.719369
1511885071776749,-0.918592,-0.33209,-0.722451
1511885071799769,-0.918711,-0.333904,-0.726208
1511885071813807,-0.918909,-0.335027,-0.730744
1511885071835860,-0.92071,-0.336066,-0.735702
1511885071858920,-0.92415,-0.336654,-0.739964
1511885071874963,-0.928668,-0.337299,-0.743949
1511885071896143,-0.933464,-0.338394,-0.747101
1511885071919207,-0.93845,-0.339939,-0.74963
1511885071935247,-0.942466,-0.341635,-0.751915
1511885071956557,-0.946387,-0.343589,-0.753914
1511885071979509,-0.950943,-0.346149,-0.756007
1511885071995706,-0.956028,-0.349378,-0.757465
1511885072015824,-0.961757,-0.353066,-0.75842
1511885072038925,-0.96681,-0.356373,-0.759184
1511885072061948,-0.971024,-0.359566,-0.760022
1511885072076013,-0.974772,-0.362836,-0.76113
1511885072099062,-0.977366,-0.366109,-0.762293
1511885072115087,-0.979529,-0.36893,-0.763859
1511885072136186,-0.981287,-0.37097,-0.7656
1511885072159506,-0.982479,-0.372499,-0.767784
1511885072175414,-0.982709,-0.373479,-0.770477
1511885072196739,-0.982046,-0.373837,-0.773609
1511885072219720,-0.980333,-0.373646,-0.777008
1511885072234760,-0.977733,-0.372695,-0.780551
1511885072255999,-0.974475,-0.371359,-0.784247
1511885072279103,-0.970314,-0.36942,-0.788178
1511885072295143,-0.964207,-0.366748,-0.792525
1511885072316200,-0.956726,-0.362837,-0.797581
1511885072339265,-0.947597,-0.358278,-0.803863
1511885072361503,-0.937444,-0.352286,-0.811867
1511885072375720,-0.925289,-0.344774,-0.821573
1511885072399027,-0.912602,-0.335511,-0.832541
1511885072421469,-0.898845,-0.32466,-0.844402
1511885072436394,-0.884285,-0.312327,-0.856857
1511885072458449,-0.869709,-0.298788,-0.869273
1511885072481511,-0.855,-0.283729,-0.881757
1511885072496555,-0.839905,-0.26774,-0.893717
1511885072518612,-0.824649,-0.250996,-0.904927
1511885072541787,-0.809741,-0.234525,-0.91554
1511885072555711,-0.794161,-0.217343,-0.925333
1511885072578772,-0.777973,-0.199958,-0.933856
1511885072600829,-0.761329,-0.182089,-0.940166
1511885072615868,-0.743971,-0.164754,-0.944033
1511885072638932,-0.726206,-0.148583,-0.945788
1511885072661132,-0.706809,-0.132899,-0.945647
1511885072676167,-0.686588,-0.117242,-0.943201
1511885072699230,-0.666166,-0.101919,-0.937733
1511885072721505,-0.64414,-0.0874498,-0.92954
1511885072736457,-0.620042,-0.0741216,-0.918119
1511885072758512,-0.59374,-0.0619685,-0.903257
1511885072781721,-0.56571,-0.0508803,-0.884184
1511885072796758,-0.532008,-0.0448391,-0.860978
1511885072818818,-0.492901,-0.0413376,-0.833781
1511885072840982,-0.447285,-0.0390352,-0.803048
1511885072856062,-0.39787,-0.0367459,-0.770412
1511885072879332,-0.347828,-0.0324954,-0.736602
1511885072901349,-0.29346,-0.0262929,-0.703321
1511885072917763,-0.235967,-0.0173931,-0.669487
1511885072938822,-0.177344,-0.00312706,-0.636786
1511885072960878,-0.12003,0.0194934,-0.607465
1511885072977927,-0.0687898,0.0527927,-0.583896
1511885072998983,-0.0275642,0.0969173,-0.565892
1511885073021151,0.00243773,0.149948,-0.554302
