timestamp,x,y,z
1511884322340980,-0.3125,1.5,-0.75
1511884322355023,-2.875,-0.25,-0.6875
1511884322378154,-3.375,-0.375,-1.1875
1511884322401140,-2,-0.875,-1
1511884322415179,-2.25,-2.1875,-0.25
1511884322437738,-3.25,-3.0625,-0.125
1511884322461303,-3.0625,-3.0625,-0.125
1511884322475340,-1.8125,-3.5625,0
1511884322497410,-1.9375,-4.5,0.4375
1511884322520460,-1.625,-5.9375,0
1511884322535502,-1.5625,-7.3125,-0.3125
1511884322557595,-1.25,-7.9375,-0.9375
1511884322580652,-0.5625,-7.75,-1.75
1511884322594689,-0.5,-8.25,-2.6875
1511884322617750,-2.375,-7.0625,-5.3125
1511884322640815,-10.75,0.4375,-14.9375
1511884322661871,-3.25,3.8125,-16.1875
1511884322677919,-1.5,4.5625,-11.4375
1511884322700982,-0.5625,3.125,-8.9375
1511884322722089,-1.125,5.5625,-8.8125
1511884322738131,-1.1875,8.4375,-8.6875
1511884322761323,-2.3125,9.0625,-8.25
1511884322782382,-1.9375,9.25,-8.875
1511884322797420,-1.875,9.875,-10.375
1511884322811485,-3.625,9.25,-12.1875
1511884322834245,-3.5625,7.9375,-13.9375
1511884322857403,-3.375,6.8125,-14.5
1511884322871450,-3.0625,4.75,-13.875
1511884322894367,-2.875,3.1875,-12.4375
1511884322917449,-4.1875,1.9375,-11.4375
1511884322931427,-4,0.9375,-10.3125
1511884322953989,-4.6875,-0.5,-8.75
1511884322977050,-5.0625,-1.3125,-7.4375
1511884322991087,-5.0625,-0.0625,-8.125
1511884323014147,-5.75,-0.125,-8.9375
1511884323037213,-6.375,-0.5,-9
1511884323051252,-7.5,-3,-9.1875
1511884323073334,-5.5625,-5.875,-10.0625
1511884323096373,-3.0625,-7.5625,-8.75
1511884323111413,1.125,-10.125,-5.25
1511884323133976,15.25,-4.375,-4.375
1511884323157134,11.125,-0.5,-6.4375
1511884323171171,5.0625,-0.875,-12.8125
1511884323193231,-0.5,-2.25,-15.4375
1511884323217294,-4.3125,1.8125,-16.5625
1511884323231335,-13.8125,5.125,-15.3125
1511884323253396,-20.25,10.0625,-13.4375
1511884323276457,-22.4375,14.75,-11.5
1511884323291497,-27.25,19.625,-9.1875
1511884323313556,-29.875,26.375,-5.4375
1511884323337122,-37.1875,34.875,-2.9375
1511884323351663,-48.75,45.3125,-0.125
1511884323373721,-61.9375,56.125,0.25
1511884323396782,-73.625,71.8125,-1.8125
1511884323410819,-90.3125,86.8125,-4.8125
1511884323433884,-102.5,107.375,9
1511884323456949,-113,122.5,26.0625
1511884323470986,-125.875,137.125,41.8125
1511884323494047,-136.938,152.625,60.3125
1511884323517109,-142.375,166.625,77.5625
1511884323531652,-136.813,176.313,93.3125
1511884323553211,-125.625,183.75,104.25
1511884323577274,-119.875,187.5,107.438
1511884323591311,-116.688,189.688,105.438
1511884323613370,-110.938,186.063,101.563
1511884323636937,-102.063,179.938,93.5
1511884323659020,-92.375,173.75,83.375
1511884323674064,-85.4375,159.188,78
1511884323697126,-81.3125,140.375,78.375
1511884323719240,-67.375,115.75,82.4375
1511884323733728,-48.5,94.75,80.125
1511884323757031,-30.3125,79,72.125
1511884323779980,-19.125,67.5625,60.8125
1511884323794125,-5.375,55.6875,51.125
1511884323817187,11.1875,42.5625,34.0625
1511884323839641,20.1875,26.625,8.4375
1511884323853419,5.0625,6.6875,-16.6875
1511884323876479,2.25,-17.0625,-37.375
1511884323899540,29.0625,-46.5,-62.5625
1511884323913581,49.0625,-74.1875,-83.6875
1511884323936643,50.3125,-101.375,-99
1511884323959341,49.5625,-124.188,-110.688
1511884323973379,66.0625,-147.625,-115.188
1511884323996439,85.5625,-161.5,-111.688
1511884324019501,81.9375,-175.25,-107.125
1511884324034057,86.625,-186.063,-100.563
1511884324056197,107.188,-188.375,-92.3125
1511884324079262,106.688,-170.438,-78.0625
1511884324093295,97.375,-157.938,-71.5625
1511884324116331,98.4375,-147.625,-67.5
1511884324138893,101.5,-131.938,-61.3125
1511884324162345,97.75,-120.25,-54.375
1511884324185408,91,-109.875,-52.75
1511884324208469,76.9375,-101.063,-45.5
1511884324237548,67.625,-93.5625,-43.4375
1511884324238551,60.3125,-84.25,-48.875
1511884324260610,45.3125,-77.75,-49.9375
1511884324289687,37.1875,-68.25,-35.9375
1511884324313753,30.625,-52.875,-25.125
1511884324335314,30.75,-40.4375,-16.3125
1511884324342335,27,-30.6875,-10.3125
1511884324365437,19.125,-20.375,-4.375
1511884324388485,12,-10.875,-0.0625
1511884324417562,4.5,-2.875,2.3125
1511884324419568,3.6875,3.9375,4
1511884324441127,3.6875,7.375,5.25
1511884324463188,1.6875,9.4375,7.75
1511884324492276,-3.9375,9.9375,9.5
1511884324516329,-5.9375,11.625,8.9375
1511884324518368,-4.625,14.1875,9.3125
1511884324538416,1.5625,15,11.25
1511884324576544,3.3125,15.1875,10
1511884324577547,-2.5,12.9375,7.0625
1511884324604647,-5.0625,10.4375,4.9375
1511884324628688,-2.875,10.875,6.375
1511884324651264,1.875,10.625,8.5
1511884324672319,5.375,10.4375,9.625
1511884324679459,5.9375,8.4375,8.125
1511884324703401,2.125,6.0625,5.9375
1511884324725573,-0.125,4,5.6875
1511884324748569,2.875,2.0625,7.0625
1511884324755587,5.875,0.875,7.0625
1511884324778650,1.25,2,4.125
1511884324800708,-4.75,2,3
1511884324813746,-2.625,1.875,3.875
1511884324836402,1.125,2.375,5.0625
1511884324858978,2.125,2.8125,5.8125
1511884324874205,0.3125,2.1875,5.3125
1511884324896166,-3.375,1.0625,2.9375
1511884324919230,-4.625,1.1875,2.8125
1511884324934180,-3.0625,1.6875,4.25
1511884324955786,-0.875,0.875,4.5625
1511884324978848,0.25,-0.3125,3.875
1511884324993888,-2.875,-1.875,1.0625
1511884325015971,-7.5,-2.9375,-1.1875
1511884325039011,-7.375,-3.125,-1
1511884325054143,-3.0625,-2.4375,1.25
1511884325076202,-0.25,-1.8125,2.1875
1511884325098271,0.5625,-2.0625,1.3125
1511884325113301,-1.5625,-3.5,-0.5625
1511884325136366,-2.0625,-4,-0.25
1511884325158317,-2.5625,-4,0.0625
1511884325173357,-1.875,-3.3125,0.5
1511884325196419,-0.6875,-2.625,1.8125
1511884325218476,0.1875,-2.5625,2.75
1511884325234021,0.0625,-1.75,4.625
1511884325256583,1.9375,-0.25,6.75
1511884325278642,2.1875,0.375,8.875
1511884325293682,2.8125,0.4375,10.4375
1511884325315740,2.125,1.125,11.9375
1511884325338805,1.8125,1.9375,14.4375
1511884325353434,2.125,2.25,16.5
1511884325376496,1.4375,2.875,19
1511884325398555,2.1875,5.4375,23.5
1511884325413594,5,7.5625,29
1511884325436157,8.875,6.8125,30.5
1511884325458295,5.6875,6,32.5
1511884325473335,2.25,5.8125,37.9375
1511884325496398,2.5,8.1875,42.9375
1511884325518455,6.375,13.625,45.375
1511884325534001,3.375,16.75,46.375
1511884325556562,6.25,20.8125,48.9375
1511884325578620,26,33.6875,56.1875
1511884325593661,-8.1875,55.5,47.5625
1511884325615720,-38.25,71.125,40.875
1511884325638782,-43.5,85.4375,46.4375
1511884325653360,-27.3125,88.1875,51.5
1511884325676425,-25.1875,86.9375,47.8125
1511884325698483,-39.6875,90.6875,46.75
1511884325721661,-58.375,100.25,43.9375
1511884325736590,-68.5625,118.25,42.25
1511884325759184,-66.75,132.438,38.8125
1511884325775228,-66.4375,141.625,37.75
1511884325796381,-76.3125,147.563,36.9375
1511884325818457,-87.0625,149.625,32.25
1511884325835281,-86.75,150.938,25.5
1511884325856121,-86.3125,153.938,22.1875
1511884325879088,-79.8125,153.75,23.6875
1511884325895052,-71.3125,148.375,25.6875
1511884325916109,-62.4375,139.938,28.75
1511884325938668,-53.0625,129.75,29.375
1511884325954712,-46,113.313,31.25
1511884325975769,-35.4375,94.25,31.3125
1511884325998829,-24.875,72.25,26.9375
1511884326020918,-11,48.375,19.4375
1511884326036432,2.25,30.4375,6.375
1511884326059024,5.25,15.0625,-9.5
1511884326075066,0.1875,4.6875,-18.4375
1511884326096124,9.5625,-5.625,-24.8125
1511884326118183,29.5,-19,-30.4375
1511884326135230,46.5625,-41.5625,-46.5625
1511884326156287,36.4375,-65.9375,-71.75
1511884326178366,30.375,-77.4375,-89.8125
1511884326195391,30.9375,-87.5,-96.125
1511884326216446,48.875,-107.75,-103.313
