timestamp,x,y,z,w
1511884029369320,-0.69281,-0.659851,0.0355225,0.288818
1511884029392026,-0.69281,-0.659851,0.0355225,0.288818
1511884029417090,-0.69281,-0.659851,0.0355225,0.288818
1511884029432131,-0.69281,-0.659851,0.0355835,0.288757
1511884029452186,-0.69281,-0.659851,0.0355835,0.288818
1511884029475753,-0.69281,-0.659851,0.0356445,0.288818
1511884029520406,-0.69281,-0.659851,0.0356445,0.288818
1511884029529448,-0.69281,-0.659851,0.0356445,0.288818
1511884029530437,-0.69281,-0.659851,0.0356445,0.288818
1511884029543466,-0.69281,-0.65979,0.0356445,0.288818
1511884029566530,-0.69281,-0.65979,0.0356445,0.288818
1511884029587146,-0.692871,-0.659851,0.0356445,0.288757
1511884029605177,-0.692871,-0.659851,0.0356445,0.288757
1511884029639267,-0.692871,-0.659851,0.0356445,0.288757
1511884029650296,-0.692871,-0.65979,0.0357056,0.288757
1511884029670351,-0.692871,-0.65979,0.0357056,0.288757
1511884029684890,-0.692871,-0.65979,0.0357056,0.288757
1511884029707012,-0.692871,-0.65979,0.0357056,0.288818
1511884029725025,-0.69281,-0.659912,0.0357666,0.288635
1511884029744088,-0.692749,-0.660034,0.0356445,0.288513
1511884029767164,-0.692261,-0.660461,0.0359497,0.288635
1511884029785188,-0.69165,-0.660828,0.0365601,0.289246
1511884029804824,-0.690186,-0.661865,0.0374146,0.290222
1511884029826879,-0.688721,-0.66272,0.0386353,0.291626
1511884029844900,-0.686768,-0.664001,0.0395508,0.293152
1511884029863983,-0.68512,-0.6651,0.0402222,0.294373
1511884029887066,-0.683655,-0.665527,0.0419922,0.296753
1511884029908943,-0.682861,-0.664917,0.0444946,0.2995
1511884029923986,-0.682007,-0.664978,0.0462646,0.300964
1511884029947017,-0.680725,-0.665527,0.0477295,0.302429
1511884029969101,-0.679871,-0.66571,0.0498657,0.30365
1511884029984618,-0.680054,-0.664978,0.0526733,0.304382
1511884030007207,-0.680908,-0.663696,0.0560303,0.304565
1511884030029293,-0.681091,-0.662537,0.0611572,0.305725
1511884030045332,-0.679993,-0.661682,0.0679321,0.308594
1511884030066364,-0.677917,-0.660706,0.0769653,0.31311
1511884030089449,-0.675964,-0.658997,0.0869141,0.318176
1511884030105594,-0.676208,-0.655884,0.0966797,0.321289
1511884030126679,-0.677979,-0.651367,0.107056,0.323547
1511884030149736,-0.681213,-0.645691,0.117798,0.324341
1511884030165756,-0.685181,-0.639038,0.130066,0.324402
1511884030187347,-0.689209,-0.631775,0.144409,0.324158
1511884030209474,-0.692078,-0.624023,0.16217,0.324585
1511884030225517,-0.694885,-0.615356,0.182861,0.324097
1511884030246572,-0.697693,-0.60675,0.20459,0.321411
1511884030269635,-0.700623,-0.597717,0.227478,0.316467
1511884030286199,-0.703247,-0.58783,0.251892,0.310608
1511884030306847,-0.704834,-0.577454,0.277405,0.30481
1511884030329886,-0.704895,-0.567078,0.303345,0.299316
1511884030345924,-0.703613,-0.556458,0.329895,0.294067
1511884030367093,-0.700928,-0.545715,0.356567,0.28949
1511884030389740,-0.697021,-0.534729,0.382996,0.285583
1511884030405817,-0.6922,-0.523621,0.408508,0.282654
1511884030426868,-0.686523,-0.512817,0.432617,0.280212
1511884030449973,-0.679932,-0.502502,0.455566,0.278687
1511884030466978,-0.672119,-0.491821,0.477722,0.279663
1511884030487036,-0.662781,-0.480652,0.499268,0.283691
1511884030509821,-0.652466,-0.468994,0.520142,0.289429
