timestamp,x,y,z
1511883898870652,0.1875,0.9375,-0.375
1511883898885718,0.75,1.0625,-0.375
1511883898910782,0.5,1.25,-0.5
1511883898930882,0.9375,1.625,-0.8125
1511883898945898,0.9375,1.625,-0.625
1511883898970965,0.1875,1.375,-0.8125
1511883899024159,0,1,-0.625
1511883899024648,0.1875,0.875,-1
1511883899025668,1.125,1.25,-1.25
1511883899036694,0.5,1,-0.875
1511883899061760,-0.625,0.8125,-0.8125
1511883899081841,-0.8125,0.0625,-0.625
1511883899097867,-0.1875,-0.25,-0.6875
1511883899133268,0.375,-0.625,-0.8125
1511883899158339,-0.0625,-0.8125,-0.625
1511883899158339,-0.3125,-0.75,-0.6875
1511883899178406,-0.875,-0.9375,-0.5
1511883899200474,-1.5625,-0.8125,-0.5625
1511883899219053,-0.1875,-0.9375,-0.375
1511883899238267,0.0625,-1.125,-0.3125
1511883899261289,0,-0.875,-0.1875
1511883899278335,-0.3125,-0.875,-0.0625
1511883899298387,-0.5,-0.125,-0.25
1511883899321190,-0.5625,0.25,-0.125
1511883899338444,-1.75,-0.25,0.25
1511883899358533,-1.875,-0.5,0.3125
1511883899380595,-0.1875,-0.5,0.0625
1511883899398599,1.375,-0.375,-0.0625
1511883899418650,-0.6875,-0.375,0
1511883899440738,-2.1875,-0.375,0.125
1511883899458813,-2.25,-0.625,0.3125
1511883899477838,0.25,-0.375,0.125
1511883899500899,1.6875,-0.1875,0.125
1511883899518948,-0.5625,0.125,0.125
1511883899540027,-2,0.3125,0
1511883899561110,-1.375,0.3125,0.25
1511883899579131,0.3125,0.25,-0.0625
1511883899600187,1.0625,0.0625,-0.0625
1511883899621244,-1.1875,-0.3125,0.1875
1511883899638802,-1.5625,-0.0625,-0.125
1511883899659857,0.25,0.25,0.1875
1511883899680940,0.5,0.0625,0.4375
1511883899698989,-0.5,-0.25,0.375
1511883899720070,-1.1875,-1.0625,0.5625
1511883899740714,-0.5,-1.5,0.75
1511883899758738,-0.1875,-0.9375,0.5625
1511883899779793,-0.875,-0.9375,0.375
1511883899800849,-0.75,-0.8125,0.1875
1511883899818899,-0.6875,-0.75,0.3125
1511883899839956,1.625,0,0.125
1511883899861042,2.75,0.8125,0.375
1511883899879088,1,0.1875,1
1511883899900117,-1.875,-1.25,3.0625
1511883899921175,-1.3125,-4,5.1875
1511883899938275,-1.25,-6.5,7.5625
1511883899961333,-0.1875,-7.6875,9.125
1511883899980386,-0.1875,-9,11.0625
1511883899998419,-0.1875,-9.25,13.125
1511883900021499,-2.875,-9.75,13.9375
1511883900040578,-2.8125,-10.1875,14.0625
1511883900058611,-2.1875,-8.3125,13.9375
1511883900081687,0.125,-9.3125,12.75
1511883900100737,5.375,-8.5625,14.375
1511883900124299,5.875,-9,13
1511883900140824,0.375,-8.5625,14.25
1511883900162882,0.5,-9.5,13.75
1511883900183939,0.125,-9.5,13.5625
1511883900199981,2.6875,-8.375,12.9375
1511883900223072,1.375,-8.9375,11.3125
1511883900244129,-15.1875,-19.625,13.125
1511883900266220,-27.5625,-34.1875,15.25
1511883900283234,-28.6875,-46.9375,21.625
1511883900304353,-20.75,-56.5,28.6875
1511883900319848,3.375,-61.6875,38.625
1511883900342404,14.25,-63.25,48
1511883900365466,22.0625,-57.625,49.8125
1511883900379503,25.8125,-52.625,53.125
1511883900402566,19.5,-52.9375,57.875
1511883900425626,15.9375,-51.5625,60.5625
1511883900446223,21.625,-45.9375,61.6875
1511883900463269,29.3125,-42.3125,63.375
1511883900485328,46.3125,-40,66.5625
1511883900506407,53.125,-41.1875,70.25
1511883900522929,51.1875,-39.375,74
1511883900545230,36.75,-36.75,76.4375
1511883900566293,34,-36.25,76.5
1511883900583330,41.125,-34.375,78.8125
1511883900605389,43.0625,-35.4375,82.375
1511883900633550,43,-35.6875,84.5625
1511883900642547,37.0625,-38.125,84.1875
1511883900665635,33.6875,-36.9375,82.0625
1511883900686696,38.5625,-33.4375,81.5625
1511883900702722,37.375,-33.5625,78.75
1511883900725837,33.625,-34.875,74.5625
1511883900746888,39.4375,-32,71.9375
1511883900762905,37.9375,-30.5625,66.9375
1511883900784990,39.4375,-31.25,66.3125
1511883900806019,35.0625,-32.8125,63.5
1511883900823094,22.75,-31.25,61.125
1511883900845682,6.3125,-31.125,58.625
1511883900866738,-6.125,-29.75,56.125
1511883900882782,-15.875,-29,54.125
1511883900905843,-13.6875,-26.375,51.5
1511883900926425,-8.8125,-25.5,48.4375
1511883900942522,9.5625,-22.1875,45.125
1511883900965557,15.8125,-20.0625,42.3125
1511883900986640,18.1875,-17.1875,37.1875
1511883901002656,8.9375,-15.375,33
1511883901025746,0.75,-15.5625,29.4375
1511883901046002,2.9375,-13.1875,25.875
1511883901063047,9.75,-10.875,22.5625
1511883901085107,10.9375,-10.5625,19
1511883901106188,8.5625,-10,15.375
1511883901122743,10.5625,-8.75,12.1875
1511883901145323,15.5,-5.375,10.75
1511883901166425,11.8125,-3.4375,10.625
1511883901182439,9.625,-2.375,11
1511883901205486,3.5,-2,11.5625
1511883901226592,1.1875,-1.1875,11.875
1511883901242742,0.3125,-0.0625,10.875
1511883901265931,0.125,-0.3125,8.0625
1511883901287864,0.4375,-0.9375,4.875
1511883901302903,2.75,-1.1875,3
1511883901325664,2.8125,-0.1875,0.4375
1511883901347847,6.5,1.625,-3.4375
1511883901362887,4.25,3.3125,-5.8125
1511883901385981,4.1875,4.8125,-7.5625
1511883901408007,0.875,4.875,-8.9375
1511883901422548,1.25,5.3125,-8.5
1511883901445635,2.4375,5,-8.0625
1511883901467670,4,6,-7.4375
1511883901482711,1.5,7,-6.5625
1511883901505772,0.0625,7.125,-7.75
1511883901528397,-1.5,5.875,-8.3125
1511883901548977,-6.8125,0.5,-6.0625
