timestamp,roll,pitch,yaw
1511883898870652,-2.21761,-0.28031,0.854509
1511883898885718,-2.21711,-0.280683,0.854213
1511883898910782,-2.21682,-0.281094,0.853895
1511883898930882,-2.21637,-0.281678,0.8537
1511883898945898,-2.21575,-0.282313,0.853272
1511883898970965,-2.21547,-0.282723,0.852954
1511883899024159,-2.21544,-0.283128,0.852812
1511883899024648,-2.21535,-0.283236,0.852725
1511883899025668,-2.21501,-0.283725,0.852722
1511883899036694,-2.21495,-0.284197,0.852691
1511883899061760,-2.21495,-0.284197,0.852691
1511883899081841,-2.21495,-0.284197,0.852691
1511883899097867,-2.21495,-0.284197,0.852691
1511883899133268,-2.21487,-0.284139,0.852544
1511883899158339,-2.21474,-0.284147,0.852509
1511883899158339,-2.21482,-0.284205,0.852655
1511883899178406,-2.21474,-0.284147,0.852509
1511883899200474,-2.21526,-0.284304,0.852921
1511883899219053,-2.21526,-0.284304,0.852921
1511883899238267,-2.21529,-0.284176,0.853275
1511883899261289,-2.21526,-0.284077,0.853326
1511883899278335,-2.21529,-0.284176,0.853275
1511883899298387,-2.21529,-0.284176,0.853275
1511883899321190,-2.21529,-0.284176,0.853275
1511883899338444,-2.21581,-0.284042,0.853272
1511883899358533,-2.2163,-0.284062,0.853224
1511883899380595,-2.2163,-0.284062,0.853224
1511883899398599,-2.21599,-0.284145,0.853362
1511883899418650,-2.21599,-0.284145,0.853362
1511883899440738,-2.21669,-0.283949,0.85339
1511883899458813,-2.21733,-0.283807,0.853422
1511883899477838,-2.21715,-0.283869,0.853393
1511883899500899,-2.21666,-0.28385,0.85344
1511883899518948,-2.21683,-0.283953,0.85353
1511883899540027,-2.21746,-0.283951,0.853315
1511883899561110,-2.21775,-0.284021,0.853132
1511883899579131,-2.21756,-0.284084,0.853102
1511883899600187,-2.21729,-0.284101,0.853129
1511883899621244,-2.21795,-0.283971,0.853267
1511883899638802,-2.21838,-0.284045,0.853225
1511883899659857,-2.21838,-0.284045,0.853225
1511883899680940,-2.21838,-0.284045,0.853225
1511883899698989,-2.21838,-0.284045,0.853225
1511883899720070,-2.2188,-0.283613,0.853375
1511883899740714,-2.21909,-0.283203,0.853693
1511883899758738,-2.21909,-0.283203,0.853693
1511883899779793,-2.21909,-0.283203,0.853693
1511883899800849,-2.21909,-0.283203,0.853693
1511883899818899,-2.21897,-0.283046,0.853597
1511883899839956,-2.21839,-0.283233,0.853605
1511883899861042,-2.21762,-0.283206,0.853371
1511883899879088,-2.21725,-0.282888,0.85304
1511883899900117,-2.21783,-0.28141,0.852726
1511883899921175,-2.21767,-0.278941,0.852607
1511883899938275,-2.21749,-0.275703,0.852676
1511883899961333,-2.21741,-0.271844,0.852828
1511883899980386,-2.21742,-0.267185,0.8529
1511883899998419,-2.21748,-0.261935,0.852758
1511883900021499,-2.21833,-0.256527,0.852484
